Age,Female,Real Estate Purchases,Value of Investments,Number of Transactions,Graduate Degree,Household Income,Have Children
38,1,0,12200,4,1,75200,1
30,0,0,12400,4,1,70300,1
41,1,0,26800,5,1,48200,0
28,1,1,19600,6,0,95300,0
31,1,1,15100,5,0,73300,1
32,0,0,39700,3,1,123400,1
32,0,1,21900,2,1,73900,1
26,1,1,41900,2,1,54300,1
26,0,0,16100,4,1,93100,0
34,1,1,18400,11,1,60100,0
33,1,0,33800,3,0,48600,0
35,1,1,15500,6,0,43500,0
28,1,0,17300,7,1,73600,1
30,0,0,47900,5,1,68200,1
30,1,0,28200,3,0,61900,1
30,0,1,19400,6,0,57600,0
33,0,1,31000,12,0,82300,0
28,0,0,21300,6,0,64600,1
27,1,0,21300,10,1,61100,1
23,1,0,21300,7,1,31200,1
30,1,0,34100,6,1,92600,0
28,0,0,32600,7,1,68300,0
41,0,1,0,10,0,35100,0
29,0,1,20800,10,1,85700,0
33,1,1,23100,6,1,140300,1
30,0,0,39800,9,1,108200,1
29,1,0,17900,2,0,61100,0
33,0,0,33300,2,0,33900,1
30,1,1,21800,8,1,54400,1
30,0,0,54000,7,1,61200,0
36,1,1,34800,12,0,58000,1
33,1,1,36100,7,1,90700,1
28,1,1,44300,5,1,95200,0
28,0,0,21400,5,0,50500,1
28,0,1,8600,6,1,33800,1
35,0,0,23200,3,0,147400,0
31,0,0,24800,4,0,92600,1
33,1,0,26600,5,1,66200,0
32,0,0,33100,8,0,45700,0
28,0,0,27000,4,0,60500,1
27,0,0,48700,6,0,110600,0
30,1,1,17100,4,0,60300,1
29,0,0,19900,6,0,75700,0
28,0,0,13200,9,0,70100,1
29,1,1,32400,6,0,42100,1
32,1,0,14200,5,1,41700,1
33,0,0,20100,5,0,96900,0
23,0,1,32000,5,1,65700,0
29,1,0,41900,3,0,50200,0
31,0,0,12000,3,0,61700,0
33,1,0,14000,6,0,44500,1
37,1,0,10000,4,1,51900,0
28,1,0,27200,5,1,119100,1
27,1,1,34500,4,1,49200,0
33,1,0,26000,6,1,39000,1
31,1,0,53400,3,1,35000,0
30,0,0,23100,7,1,104700,1
23,0,0,24900,5,0,49300,0
33,0,0,10900,10,1,74000,0
31,1,0,52500,2,1,57100,1
24,1,0,24600,16,1,51400,1
35,1,0,28800,6,0,62100,1
36,1,1,37300,11,1,103000,1
24,0,1,21100,9,1,97900,0
25,0,0,40900,3,0,123100,0
26,1,0,24700,7,1,322500,0
31,0,0,33600,8,1,54800,1
26,0,1,20000,6,0,66500,1
26,0,0,23900,2,0,33700,1
28,0,1,11700,8,0,73600,1
26,1,0,19200,5,1,71300,1
34,0,0,11900,6,0,74200,0
32,0,0,17700,8,1,70000,1
30,0,0,23900,6,1,40800,0
29,1,1,27500,4,1,72500,1
23,0,1,25300,4,0,53300,0
28,1,0,66900,5,0,45600,0
25,0,0,18800,5,1,73900,1
35,0,0,24400,3,1,83600,0
31,0,0,45500,9,1,124700,0
35,0,1,54700,3,1,101600,0
32,1,0,32200,4,0,205900,1
29,0,0,16200,3,1,69700,0
34,1,0,16000,9,0,95700,0
30,1,1,24000,3,0,46100,1
29,0,0,28800,3,1,118600,0
42,0,0,14100,5,1,65400,0
37,1,1,17700,11,1,149300,1
32,0,0,29800,7,1,125000,0
33,1,1,27200,3,1,39800,0
36,0,1,43000,2,0,83500,1
32,1,1,15500,7,1,38700,1
35,0,1,8700,6,0,102400,0
20,0,0,13900,14,1,57700,0
30,0,0,14200,6,1,16200,0
31,1,1,27100,3,0,43100,0
28,0,1,22300,3,0,43700,0
24,1,1,29500,4,1,39600,1
30,0,0,18800,2,1,127500,0
23,1,1,26400,9,1,33500,0
29,0,1,16400,5,1,48100,1
33,0,0,39500,3,1,52800,0
24,0,1,20900,6,1,54800,0
25,1,0,52800,5,1,46500,0
38,0,0,36500,4,1,60400,0
22,1,0,30400,11,1,202400,1
32,1,0,39800,7,0,71300,0
28,1,1,18100,9,0,62800,0
32,0,1,69500,7,0,43900,1
33,1,0,33000,5,1,52200,1
32,1,1,32100,3,0,64400,1
24,0,1,15200,8,0,77400,1
23,1,1,49800,3,1,65900,0
23,0,0,28100,6,0,54100,1
38,0,0,15200,6,1,77400,1
29,0,0,30800,3,1,85900,1
28,0,0,21200,3,0,148600,0
29,0,0,24600,4,1,82100,0
36,0,1,24700,9,1,64400,1
35,1,1,26300,16,0,86200,0
34,1,1,32200,6,0,177100,1
23,0,0,20300,6,1,68300,0
31,1,0,60900,6,1,67900,1
28,0,0,15800,11,1,57300,1
33,1,0,31700,6,1,83600,0
31,0,1,0,5,1,77500,0
26,1,1,20900,9,1,61700,1
38,1,0,37900,12,0,85600,1
28,0,1,22400,7,1,59900,1
27,0,0,26600,5,1,43100,0
31,0,0,20800,10,0,65700,0
34,0,0,31100,7,1,80500,1
29,0,0,31200,5,1,88400,1
27,0,0,0,2,0,40200,0
26,0,1,38900,7,1,84000,1
33,0,1,29500,4,1,34400,1
33,0,0,16100,5,0,55800,1
34,0,0,15800,7,1,64900,1
31,0,0,27500,4,1,41100,1
37,1,0,13000,7,0,39100,1
27,0,1,68100,5,0,58200,0
32,0,1,18500,7,1,46500,1
25,1,0,27100,2,1,45100,1
31,1,0,25900,5,1,69900,1
38,0,0,18400,2,0,63700,0
31,1,0,59200,4,1,40500,0
28,1,0,67900,5,0,62600,1
29,1,0,36700,7,1,73400,1
34,1,0,32400,9,1,35000,0
35,1,1,10300,4,1,114000,0
30,0,0,39300,7,1,70800,0
32,1,0,13800,6,1,60300,1
31,0,0,11100,4,1,78700,0
29,1,0,28600,2,0,179700,0
31,0,0,22100,6,1,157200,1
31,1,0,16700,6,1,67300,0
22,1,1,19400,6,1,49800,0
19,0,1,54600,4,1,43400,1
31,1,1,41500,2,1,71100,1
22,1,0,23300,9,0,42100,1
26,0,0,29700,8,1,42200,1
34,0,1,33200,2,1,63300,0
37,0,1,56300,5,0,55700,0
36,1,0,25900,5,1,107900,0
27,1,1,63500,6,1,44800,1
32,0,1,18700,7,1,94700,0
27,1,0,49700,4,1,112700,0
32,0,1,15000,5,1,114900,1
24,1,1,8200,7,0,112700,1
38,1,1,36300,9,0,60900,0
33,1,0,50200,7,1,137800,0
19,0,0,13500,10,1,47200,1
33,0,1,37500,4,1,70900,1
25,1,0,26800,7,0,52000,0
27,0,0,30300,5,1,166500,1
35,1,0,46300,18,1,88000,0
29,0,1,14400,9,0,41800,0
31,0,1,0,4,1,60300,0
29,1,1,18800,5,1,53400,1
31,1,0,40900,5,0,46700,1
32,0,1,23300,7,1,59600,1
22,1,0,11900,4,1,27700,1
29,0,1,28100,10,0,48900,1
28,1,0,20400,8,0,56600,0
26,0,0,14900,7,0,32500,0
33,1,0,33900,3,1,74500,1
35,0,0,15100,6,0,69800,0
27,0,0,133400,5,1,48100,1
33,1,1,18300,7,1,95900,1
30,1,1,28700,10,1,76500,0
28,0,1,50900,6,1,43700,0
35,1,0,25600,4,1,72700,1
34,1,1,30700,0,1,140100,0
28,0,1,64300,5,1,76600,0
30,0,1,67200,7,0,65300,1
37,0,0,62200,11,1,161100,1
32,0,0,33100,12,0,64900,0
21,0,0,26000,4,0,59800,1
31,1,1,18400,5,0,87900,1
31,0,0,53000,12,1,174900,1
23,0,0,46300,3,1,40700,1
34,0,1,32700,5,0,36700,1
31,0,0,50900,4,1,167800,0
28,1,0,19200,2,1,168500,0
30,0,1,18300,3,1,112100,1
25,0,0,17800,2,1,65500,0
32,1,1,41800,6,1,73500,0
30,0,1,7100,7,1,59100,1
28,0,1,15500,8,1,73900,0
33,0,0,22900,4,1,120800,1
34,1,1,10000,4,0,25100,1
34,1,0,53300,6,1,137900,1
33,1,1,32400,7,1,70200,1
26,0,0,85600,2,1,90900,0
28,1,1,26400,6,0,65500,0
23,0,1,30400,5,1,86200,0
31,0,1,24000,8,1,45900,0
28,1,0,17500,0,0,76000,0
29,0,0,11000,5,1,82700,1
30,1,0,9400,5,0,57400,1
30,0,0,34700,12,0,53700,0
31,1,1,44200,3,0,29900,1
22,0,0,20700,5,0,94800,1
34,0,0,29000,3,0,67300,1
30,1,0,29800,3,1,41200,1
34,1,1,95200,21,0,70400,1
25,0,1,21500,5,1,120600,1
32,1,0,23100,4,0,63900,0
